3-1-01-030,0,681000,BT   N-210 VDE COLEGIO CUMBRES FEMENINO FULL SAN PEDRO 2021,2,0,1,,,,,,0,V-E-2212,1,E2-02-03,,0,,,0,09/11/2021,,,0,,0,0,0,0,0,0,0,0,0,0,S
1-1-02-016,667380,0,BT   N-213 VDE COLEGIO CUMBRES FEMENINO FULL SAN PEDRO 2021,2,1,0,,,,,,0,,0,,,0,21576827,BT ,213,09/11/2021,09/11/2021,BT ,213,,0,667380,0,0,0,0,0,0,0,667380,S
3-1-01-030,0,667380,BT   N-213 VDE COLEGIO CUMBRES FEMENINO FULL SAN PEDRO 2021,2,0,1,,,,,,0,V-E-2212,1,E2-02-03,,0,,,0,09/11/2021,,,0,,0,0,0,0,0,0,0,0,0,0,S
1-1-02-016,660570,0,BT   N-214 VDE COLEGIO CUMBRES FEMENINO FULL SAN PEDRO 2021,2,1,0,,,,,,0,,0,,,0,21467495,BT ,214,09/11/2021,09/11/2021,BT ,214,,0,660570,0,0,0,0,0,0,0,660570,S
3-1-01-030,0,660570,BT   N-214 VDE COLEGIO CUMBRES FEMENINO FULL SAN PEDRO 2021,2,0,1,,,,,,0,V-E-2212,1,E2-02-03,,0,,,0,09/11/2021,,,0,,0,0,0,0,0,0,0,0,0,0,S
1-1-02-016,681000,0,BT   N-215 VDE COLEGIO CUMBRES FEMENINO FULL SAN PEDRO 2021,2,1,0,,,,,,0,,0,,,0,21674180,BT ,215,09/11/2021,09/11/2021,BT ,215,,0,681000,0,0,0,0,0,0,0,681000,S
3-1-01-030,0,681000,BT   N-215 VDE COLEGIO CUMBRES FEMENINO FULL SAN PEDRO 2021,2,0,1,,,,,,0,V-E-2212,1,E2-02-03,,0,,,0,09/11/2021,,,0,,0,0,0,0,0,0,0,0,0,0,S
1-1-02-016,660570,0,BT   N-216 VDE COLEGIO CUMBRES FEMENINO FULL SAN PEDRO 2021,2,1,0,,,,,,0,,0,,,0,21729893,BT ,216,09/11/2021,09/11/2021,BT ,216,,0,660570,0,0,0,0,0,0,0,660570,S
3-1-01-030,0,660570,BT   N-216 VDE COLEGIO CUMBRES FEMENINO FULL SAN PEDRO 2021,2,0,1,,,,,,0,V-E-2212,1,E2-02-03,,0,,,0,09/11/2021,,,0,,0,0,0,0,0,0,0,0,0,0,S
1-1-02-016,681000,0,BT   N-217 VDE COLEGIO CUMBRES FEMENINO FULL SAN PEDRO 2021,2,1,0,,,,,,0,,0,,,0,21471622,BT ,217,09/11/2021,09/11/2021,BT ,217,,0,681000,0,0,0,0,0,0,0,681000,S
3-1-01-030,0,681000,BT   N-217 VDE COLEGIO CUMBRES FEMENINO FULL SAN PEDRO 2021,2,0,1,,,,,,0,V-E-2212,1,E2-02-03,,0,,,0,09/11/2021,,,0,,0,0,0,0,0,0,0,0,0,0,S
1-1-02-016,681000,0,BT   N-220 VDE COLEGIO CUMBRES FEMENINO FULL SAN PEDRO 2021,2,1,0,,,,,,0,,0,,,0,21182802,BT ,220,09/11/2021,09/11/2021,BT ,220,,0,681000,0,0,0,0,0,0,0,681000,S
